No.,正誤,分野名,大分類,中分類,出典,学習日
21,×,マネジメント系,サービスマネジメント,システム監査,"=HYPERLINK(""https://www.fe-siken.com/kakomon/25_aki/q60.html"",""平成25年秋期 問60"")",2026/2/14
22,-,テクノロジ系,技術要素,ネットワーク,"=HYPERLINK(""https://www.fe-siken.com/kakomon/29_haru/q34.html"",""平成29年春期 問34"")",2026/2/14
23,-,テクノロジ系,技術要素,ネットワーク,"=HYPERLINK(""https://www.fe-siken.com/kakomon/05_menjo/q23.html"",""令和5年免除 問23"")",2026/2/14
24,○,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.fe-siken.com/kakomon/03_menjo/q40.html"",""令和3年免除 問40"")",2026/2/14
25,○,テクノロジ系,コンピュータシステム,ハードウェア,"=HYPERLINK(""https://www.fe-siken.com/kakomon/31_haru/q22.html"",""平成31年春期 問22"")",2026/2/14
26,-,ストラテジ系,経営戦略,ビジネスインダストリ,"=HYPERLINK(""https://www.fe-siken.com/kakomon/06_menjo/q54.html"",""令和6年免除 問54"")",2026/2/14
27,×,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.fe-siken.com/kakomon/30_aki/q44.html"",""平成30年秋期 問44"")",2026/2/14
28,○,ストラテジ系,経営戦略,ビジネスインダストリ,"=HYPERLINK(""https://www.fe-siken.com/kakomon/01_aki/q71.html"",""令和元年秋期 問71"")",2026/2/14
29,-,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.fe-siken.com/kakomon/24_aki/q42.html"",""平成24年秋期 問42"")",2026/2/14
30,○,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.fe-siken.com/kakomon/28_aki/q39.html"",""平成28年秋期 問39"")",2026/2/14
31,○,テクノロジ系,基礎理論,基礎理論,"=HYPERLINK(""https://www.fe-siken.com/kakomon/01_aki/q3.html"",""令和元年秋期 問3"")",2026/2/14
32,○,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.fe-siken.com/kakomon/29_haru/q36.html"",""平成29年春期 問36"")",2026/2/14
33,×,テクノロジ系,技術要素,ネットワーク,"=HYPERLINK(""https://www.fe-siken.com/kakomon/26_aki/q32.html"",""平成26年秋期 問32"")",2026/2/14
34,○,ストラテジ系,システム戦略,システム戦略,"=HYPERLINK(""https://www.fe-siken.com/kakomon/03_menjo/q61.html"",""令和3年免除 問61"")",2026/2/14
35,○,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.fe-siken.com/kakomon/26_haru/q41.html"",""平成26年春期 問41"")",2026/2/14
36,×,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.fe-siken.com/kakomon/30_haru/q39.html"",""平成30年春期 問39"")",2026/2/14
37,×,テクノロジ系,コンピュータシステム,システム構成要素,"=HYPERLINK(""https://www.fe-siken.com/kakomon/01_aki/q15.html"",""令和元年秋期 問15"")",2026/2/14
38,○,ストラテジ系,経営戦略,ビジネスインダストリ,"=HYPERLINK(""https://www.fe-siken.com/kakomon/06_menjo/q55.html"",""令和6年免除 問55"")",2026/2/14
39,○,テクノロジ系,開発技術,ソフトウェア開発管理技術,"=HYPERLINK(""https://www.fe-siken.com/kakomon/06_menjo/q14.html"",""令和6年免除 問14"")",2026/2/14
40,○,ストラテジ系,経営戦略,ビジネスインダストリ,"=HYPERLINK(""https://www.fe-siken.com/kakomon/25_haru/q73.html"",""平成25年春期 問73"")",2026/2/14
41,○,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.fe-siken.com/kakomon/06_menjo/q32.html"",""令和6年免除 問32"")",2026/2/14
42,×,テクノロジ系,技術要素,情報メディア,"=HYPERLINK(""https://www.fe-siken.com/kakomon/28_haru/q25.html"",""平成28年春期 問25"")",2026/2/14
43,×,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.fe-siken.com/kakomon/26_haru/q40.html"",""平成26年春期 問40"")",2026/2/14
44,-,テクノロジ系,基礎理論,アルゴリズムとプログラミング,"=HYPERLINK(""https://www.fe-siken.com/kakomon/04_menjo/q10.html"",""令和4年免除 問10"")",2026/2/14
45,×,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.fe-siken.com/kakomon/04_menjo/q35.html"",""令和4年免除 問35"")",2026/2/14
46,×,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.fe-siken.com/kakomon/06_menjo/q27.html"",""令和6年免除 問27"")",2026/2/14
47,×,テクノロジ系,コンピュータシステム,ハードウェア,"=HYPERLINK(""https://www.fe-siken.com/kakomon/28_haru/q22.html"",""平成28年春期 問22"")",2026/2/14
48,○,マネジメント系,サービスマネジメント,サービスマネジメント,"=HYPERLINK(""https://www.fe-siken.com/kakomon/26_haru/q55.html"",""平成26年春期 問55"")",2026/2/14
49,×,テクノロジ系,コンピュータシステム,ソフトウェア,"=HYPERLINK(""https://www.fe-siken.com/kakomon/26_haru/q16.html"",""平成26年春期 問16"")",2026/2/14
50,○,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.fe-siken.com/kakomon/28_aki/q40.html"",""平成28年秋期 問40"")",2026/2/14
51,○,テクノロジ系,開発技術,システム開発技術,"=HYPERLINK(""https://www.fe-siken.com/kakomon/30_aki/q47.html"",""平成30年秋期 問47"")",2026/2/14
52,×,ストラテジ系,企業と法務,企業活動,"=HYPERLINK(""https://www.fe-siken.com/kakomon/28_aki/q76.html"",""平成28年秋期 問76"")",2026/2/14
